subset,dataset,datatype,num_samples,resolution,method,psnr,ssim,mse,hf_ratio
ViaSet-LevelILT,ViaSet,LevelILT,100,256,Average,33.643377,0.981265,0.000462,0.689058
ViaSet-LevelILT,ViaSet,LevelILT,100,256,Fourier,21.546404,0.259612,0.007032,0.526701
ViaSet-LevelILT,ViaSet,LevelILT,100,512,PointWise,33.205841,0.97935,0.000522,1.087576
ViaSet-LevelILT,ViaSet,LevelILT,100,512,Average,36.880156,0.991212,0.00022,0.720916
ViaSet-LevelILT,ViaSet,LevelILT,100,512,Fourier,21.442484,0.254633,0.0072,0.543136
ViaSet-LevelILT,ViaSet,LevelILT,100,1024,PointWise,37.55138,0.992538,0.000185,1.069621
ViaSet-LevelILT,ViaSet,LevelILT,100,1024,Average,40.56515,0.996267,9.3e-05,0.707375
ViaSet-LevelILT,ViaSet,LevelILT,100,1024,Fourier,19.797731,0.212171,0.010593,0.500562
ViaSet-Litho,ViaSet,Litho,100,128,PointWise,37.230254,0.989353,1.5e-05,6.849397
ViaSet-Litho,ViaSet,Litho,100,128,Average,42.563463,0.99687,4e-06,6.614906
ViaSet-Litho,ViaSet,Litho,100,128,Fourier,37.075942,0.983134,1.5e-05,6.801136
ViaSet-Litho,ViaSet,Litho,100,256,PointWise,43.327612,0.997384,4e-06,3.717407
ViaSet-Litho,ViaSet,Litho,100,256,Average,48.161931,0.999139,1e-06,3.530573
ViaSet-Litho,ViaSet,Litho,100,256,Fourier,42.915473,0.992125,4e-06,3.549936
ViaSet-Litho,ViaSet,Litho,100,512,PointWise,49.212325,0.999325,1e-06,2.30208
ViaSet-Litho,ViaSet,Litho,100,512,Average,53.172072,0.999728,0.0,2.042885
ViaSet-Litho,ViaSet,Litho,100,512,Fourier,48.01286,0.995025,1e-06,2.053681
ViaSet-Litho,ViaSet,Litho,100,1024,PointWise,54.743806,0.999811,0.0,1.283683
ViaSet-Litho,ViaSet,Litho,100,1024,Average,57.68949,0.999904,0.0,0.908984
ViaSet-Litho,ViaSet,Litho,100,1024,Fourier,51.237951,0.995696,1e-06,0.934002
ViaSet-PixelILT,ViaSet,PixelILT,100,128,PointWise,22.199275,0.852,0.006553,1.040629
ViaSet-PixelILT,ViaSet,PixelILT,100,128,Average,26.277574,0.938662,0.002553,0.582312
ViaSet-PixelILT,ViaSet,PixelILT,100,128,Fourier,18.455461,0.299382,0.014643,0.40508
ViaSet-PixelILT,ViaSet,PixelILT,100,256,PointWise,25.597131,0.932393,0.002991,1.045507
ViaSet-PixelILT,ViaSet,PixelILT,100,256,Average,29.260305,0.970067,0.001284,0.600911
ViaSet-PixelILT,ViaSet,PixelILT,100,256,Fourier,19.538122,0.338795,0.011307,0.43288
ViaSet-PixelILT,ViaSet,PixelILT,100,512,PointWise,29.906175,0.974939,0.001109,1.035711
ViaSet-PixelILT,ViaSet,PixelILT,100,512,Average,32.821397,0.98703,0.000566,0.66391
ViaSet-PixelILT,ViaSet,PixelILT,100,512,Fourier,19.250715,0.32495,0.011981,0.436181
ViaSet-PixelILT,ViaSet,PixelILT,100,1024,PointWise,inf,1.0,0.0,1.0
ViaSet-PixelILT,ViaSet,PixelILT,100,1024,Average,inf,1.0,0.0,1.0
ViaSet-PixelILT,ViaSet,PixelILT,100,1024,Fourier,18.280965,0.293411,0.014915,0.392208
ViaSet-Printed,ViaSet,Printed,100,128,PointWise,30.100516,0.813963,0.001057,1.230261
ViaSet-Printed,ViaSet,Printed,100,128,Average,34.519283,0.927981,0.00038,0.684342
ViaSet-Printed,ViaSet,Printed,100,128,Fourier,21.364786,0.058393,0.007474,0.54258
ViaSet-Printed,ViaSet,Printed,100,256,PointWise,33.415015,0.913231,0.000489,1.230439
ViaSet-Printed,ViaSet,Printed,100,256,Average,37.58866,0.96575,0.000187,0.710733
ViaSet-Printed,ViaSet,Printed,100,256,Fourier,21.368131,0.06155,0.00734,0.560678
ViaSet-Printed,ViaSet,Printed,100,512,PointWise,36.897824,0.96119,0.000218,1.222457
ViaSet-Printed,ViaSet,Printed,100,512,Average,40.702171,0.983577,9.1e-05,0.738106
ViaSet-Printed,ViaSet,Printed,100,512,Fourier,21.361056,0.063425,0.007338,0.580741
ViaSet-Printed,ViaSet,Printed,100,1024,PointWise,41.405095,0.986246,7.7e-05,1.178978
ViaSet-Printed,ViaSet,Printed,100,1024,Average,44.382288,0.993024,3.9e-05,0.71171
ViaSet-Printed,ViaSet,Printed,100,1024,Fourier,19.617327,0.050727,0.011019,0.508074
ViaSet-Resist,ViaSet,Resist,100,128,PointWise,36.410447,0.947451,0.000208,496.343153
ViaSet-Resist,ViaSet,Resist,100,128,Average,41.868118,0.984815,5.9e-05,455.32474
ViaSet-Resist,ViaSet,Resist,100,128,Fourier,36.110779,0.868168,0.000223,509.176045
ViaSet-Resist,ViaSet,Resist,100,256,PointWise,42.669277,0.987563,4.9e-05,268.873067
ViaSet-Resist,ViaSet,Resist,100,256,Average,47.804076,0.996172,1.5e-05,262.462768
ViaSet-Resist,ViaSet,Resist,100,256,Fourier,42.631948,0.984485,5e-05,269.470753
ViaSet-Resist,ViaSet,Resist,100,512,PointWise,49.588464,0.997472,1e-05,151.039406
ViaSet-Resist,ViaSet,Resist,100,512,Average,53.983056,0.99908,4e-06,149.938386
ViaSet-Resist,ViaSet,Resist,100,512,Fourier,49.44305,0.994562,1e-05,150.841571
ViaSet-Resist,ViaSet,Resist,100,1024,PointWise,57.941594,0.999631,1e-06,52.723373
ViaSet-Resist,ViaSet,Resist,100,1024,Average,60.900404,0.999813,1e-06,52.298183
ViaSet-Resist,ViaSet,Resist,100,1024,Fourier,56.769458,0.99576,2e-06,52.288616
ViaSet-Target,ViaSet,Target,100,128,PointWise,28.831295,0.835144,0.001399,1.054994
ViaSet-Target,ViaSet,Target,100,128,Average,33.143366,0.9334,0.000514,0.635592
ViaSet-Target,ViaSet,Target,100,128,Fourier,22.191023,0.0943,0.006071,0.423541
ViaSet-Target,ViaSet,Target,100,256,PointWise,32.639194,0.927153,0.000609,1.029081
ViaSet-Target,ViaSet,Target,100,256,Average,36.129123,0.966555,0.000266,0.65888
ViaSet-Target,ViaSet,Target,100,256,Fourier,21.957719,0.097137,0.00661,0.497422
ViaSet-Target,ViaSet,Target,100,512,PointWise,36.623221,0.970397,0.000244,1.027096
ViaSet-Target,ViaSet,Target,100,512,Average,39.795307,0.986034,0.000113,0.734659
ViaSet-Target,ViaSet,Target,100,512,Fourier,22.750247,0.107592,0.005312,0.49812
ViaSet-Target,ViaSet,Target,100,1024,PointWise,40.118333,0.987568,0.000103,1.02629
ViaSet-Target,ViaSet,Target,100,1024,Average,43.162382,0.993765,5.1e-05,0.72064
ViaSet-Target,ViaSet,Target,100,1024,Fourier,23.941699,0.126294,0.004037,0.542936
